Country,Year,Series,Value
Angola,2010,Domestic general government health expenditure (% of total government expenditure),4.2496
Angola,2015,Domestic general government health expenditure (% of total government expenditure),4.5626
Angola,2016,Domestic general government health expenditure (% of total government expenditure),5.4327
Angola,2017,Domestic general government health expenditure (% of total government expenditure),5.4284
Antigua and Barbuda,2000,Current health expenditure (% of GDP),4.4807
Antigua and Barbuda,2005,Current health expenditure (% of GDP),4.9707
Antigua and Barbuda,2010,Current health expenditure (% of GDP),5.1871
Antigua and Barbuda,2015,Current health expenditure (% of GDP),4.7018
Antigua and Barbuda,2016,Current health expenditure (% of GDP),4.3573
Antigua and Barbuda,2017,Current health expenditure (% of GDP),4.5335
Antigua and Barbuda,2000,Domestic general government health expenditure (% of total government expenditure),11.0006
Antigua and Barbuda,2005,Domestic general government health expenditure (% of total government expenditure),11.4314
Antigua and Barbuda,2010,Domestic general government health expenditure (% of total government expenditure),13.1275
Antigua and Barbuda,2015,Domestic general government health expenditure (% of total government expenditure),9.9251
Antigua and Barbuda,2016,Domestic general government health expenditure (% of total government expenditure),8.8509
Antigua and Barbuda,2017,Domestic general government health expenditure (% of total government expenditure),9.4786
Argentina,2000,Current health expenditure (% of GDP),8.467
Argentina,2005,Current health expenditure (% of GDP),7.6108
Argentina,2010,Current health expenditure (% of GDP),8.6137
Argentina,2015,Current health expenditure (% of GDP),8.7885
Argentina,2016,Current health expenditure (% of GDP),7.5444
Argentina,2017,Current health expenditure (% of GDP),9.1243
Argentina,2000,Domestic general government health expenditure (% of total government expenditure),17.8199
Argentina,2005,Domestic general government health expenditure (% of total government expenditure),16.0222
Argentina,2010,Domestic general government health expenditure (% of total government expenditure),16.693
Argentina,2015,Domestic general government health expenditure (% of total government expenditure),16.4976
Argentina,2016,Domestic general government health expenditure (% of total government expenditure),13.4864
Argentina,2017,Domestic general government health expenditure (% of total government expenditure),16.0513
Armenia,2000,Current health expenditure (% of GDP),4.1958
Armenia,2005,Current health expenditure (% of GDP),5.8619
Armenia,2010,Current health expenditure (% of GDP),9.2354
Armenia,2015,Current health expenditure (% of GDP),10.1176
Armenia,2016,Current health expenditure (% of GDP),9.952
Armenia,2017,Current health expenditure (% of GDP),10.3627
Armenia,2000,Domestic general government health expenditure (% of total government expenditure),3.8699
Armenia,2005,Domestic general government health expenditure (% of total government expenditure),7.44
Armenia,2010,Domestic general government health expenditure (% of total government expenditure),6.4361
Armenia,2015,Domestic general government health expenditure (% of total government expenditure),6.1153
Armenia,2016,Domestic general government health expenditure (% of total government expenditure),6.0535
Armenia,2017,Domestic general government health expenditure (% of total government expenditure),5.2735
Australia,2000,Current health expenditure (% of GDP),7.6139
Australia,2005,Current health expenditure (% of GDP),7.9901
Australia,2010,Current health expenditure (% of GDP),8.4308
Australia,2015,Current health expenditure (% of GDP),9.3147
Australia,2016,Current health expenditure (% of GDP),9.1961
Australia,2017,Current health expenditure (% of GDP),9.2059
Australia,2000,Domestic general government health expenditure (% of total government expenditure),15.1643
Australia,2005,Domestic general government health expenditure (% of total government expenditure),16.335
Australia,2010,Domestic general government health expenditure (% of total government expenditure),16.2633
Australia,2015,Domestic general government health expenditure (% of total government expenditure),17.2287
Australia,2016,Domestic general government health expenditure (% of total government expenditure),17.4849
Australia,2017,Domestic general government health expenditure (% of total government expenditure),17.7973
Austria,2000,Current health expenditure (% of GDP),9.2037
Austria,2005,Current health expenditure (% of GDP),9.627
Austria,2010,Current health expenditure (% of GDP),10.221
Austria,2015,Current health expenditure (% of GDP),10.3678
Austria,2016,Current health expenditure (% of GDP),10.4192
Austria,2017,Current health expenditure (% of GDP),10.3966
Austria,2000,Domestic general government health expenditure (% of total government expenditure),13.3752
Austria,2005,Domestic general government health expenditure (% of total government expenditure),13.6724
Austria,2010,Domestic general government health expenditure (% of total government expenditure),14.0038
Austria,2015,Domestic general government health expenditure (% of total government expenditure),14.6911
Austria,2016,Domestic general government health expenditure (% of total government expenditure),14.9672
Austria,2017,Domestic general government health expenditure (% of total government expenditure),15.3054
Azerbaijan,2000,Current health expenditure (% of GDP),3.8937
Azerbaijan,2005,Current health expenditure (% of GDP),7.4353
Azerbaijan,2010,Current health expenditure (% of GDP),4.7678
Azerbaijan,2015,Current health expenditure (% of GDP),6.714
Azerbaijan,2016,Current health expenditure (% of GDP),6.6631
Azerbaijan,2017,Current health expenditure (% of GDP),6.6518
Azerbaijan,2000,Domestic general government health expenditure (% of total government expenditure),4.7503
Azerbaijan,2005,Domestic general government health expenditure (% of total government expenditure),4.0804
Azerbaijan,2010,Domestic general government health expenditure (% of total government expenditure),3.1628
Azerbaijan,2015,Domestic general government health expenditure (% of total government expenditure),3.3677
Azerbaijan,2016,Domestic general government health expenditure (% of total government expenditure),3.2885
Azerbaijan,2017,Domestic general government health expenditure (% of total government expenditure),2.8143
Bahamas,2000,Current health expenditure (% of GDP),4.0339
Bahamas,2005,Current health expenditure (% of GDP),4.6509
Bahamas,2010,Current health expenditure (% of GDP),5.9243
Bahamas,2015,Current health expenditure (% of GDP),5.7144
Bahamas,2016,Current health expenditure (% of GDP),6.0714
Bahamas,2017,Current health expenditure (% of GDP),5.7589
Bahamas,2000,Domestic general government health expenditure (% of total government expenditure),16.2408
Bahamas,2005,Domestic general government health expenditure (% of total government expenditure),16.6633
Bahamas,2010,Domestic general government health expenditure (% of total government expenditure),17.2666
Bahamas,2015,Domestic general government health expenditure (% of total government expenditure),15.8685
Bahamas,2016,Domestic general government health expenditure (% of total government expenditure),15.9821
Bahamas,2017,Domestic general government health expenditure (% of total government expenditure),11.2508
Bahrain,2000,Current health expenditure (% of GDP),3.5613
Bahrain,2005,Current health expenditure (% of GDP),3.1756
Bahrain,2010,Current health expenditure (% of GDP),3.8429
Bahrain,2015,Current health expenditure (% of GDP),4.9751
Bahrain,2016,Current health expenditure (% of GDP),4.8582
Bahrain,2017,Current health expenditure (% of GDP),4.7481
Bahrain,2000,Domestic general government health expenditure (% of total government expenditure),10.1835
Bahrain,2005,Domestic general government health expenditure (% of total government expenditure),8.6178
Bahrain,2010,Domestic general government health expenditure (% of total government expenditure),8.4764
Bahrain,2015,Domestic general government health expenditure (% of total government expenditure),8.8287
Bahrain,2016,Domestic general government health expenditure (% of total government expenditure),8.4939
Bahrain,2017,Domestic general government health expenditure (% of total government expenditure),8.4938
Bangladesh,2000,Current health expenditure (% of GDP),2.0019
Bangladesh,2005,Current health expenditure (% of GDP),2.2755
Bangladesh,2010,Current health expenditure (% of GDP),2.4959
Bangladesh,2015,Current health expenditure (% of GDP),2.4631
Bangladesh,2016,Current health expenditure (% of GDP),2.3118
Bangladesh,2017,Current health expenditure (% of GDP),2.2742
Bangladesh,2000,Domestic general government health expenditure (% of total government expenditure),5.2098
Bangladesh,2005,Domestic general government health expenditure (% of total government expenditure),4.3888
Bangladesh,2010,Domestic general government health expenditure (% of total government expenditure),4.4394
Bangladesh,2015,Domestic general government health expenditure (% of total government expenditure),3.3797
Bangladesh,2016,Domestic general government health expenditure (% of total government expenditure),3.0201
Bangladesh,2017,Domestic general government health expenditure (% of total government expenditure),2.9945
Barbados,2000,Current health expenditure (% of GDP),5.3319
Barbados,2005,Current health expenditure (% of GDP),6.7689
Barbados,2010,Current health expenditure (% of GDP),6.774
Barbados,2015,Current health expenditure (% of GDP),6.9671
Barbados,2016,Current health expenditure (% of GDP),6.852
Barbados,2017,Current health expenditure (% of GDP),6.7791
Barbados,2000,Domestic general government health expenditure (% of total government expenditure),12.2769
Barbados,2005,Domestic general government health expenditure (% of total government expenditure),11.7786
Barbados,2010,Domestic general government health expenditure (% of total government expenditure),10.3745
Barbados,2015,Domestic general government health expenditure (% of total government expenditure),9.0846
Barbados,2016,Domestic general government health expenditure (% of total government expenditure),9.2936
Barbados,2017,Domestic general government health expenditure (% of total government expenditure),9.0803
Belarus,2000,Current health expenditure (% of GDP),5.4668
Belarus,2005,Current health expenditure (% of GDP),6.2765
Belarus,2010,Current health expenditure (% of GDP),5.6569
Belarus,2015,Current health expenditure (% of GDP),6.0653
Belarus,2016,Current health expenditure (% of GDP),5.9105
Belarus,2017,Current health expenditure (% of GDP),5.9258
Belarus,2000,Domestic general government health expenditure (% of total government expenditure),12.1293
Belarus,2005,Domestic general government health expenditure (% of total government expenditure),10.0517
Belarus,2010,Domestic general government health expenditure (% of total government expenditure),8.6853
Belarus,2015,Domestic general government health expenditure (% of total government expenditure),8.8264
Belarus,2016,Domestic general government health expenditure (% of total government expenditure),10.3065
Belarus,2017,Domestic general government health expenditure (% of total government expenditure),10.6191
Belgium,2000,Current health expenditure (% of GDP),7.942
Belgium,2005,Current health expenditure (% of GDP),9.007
Belgium,2010,Current health expenditure (% of GDP),9.9747
Belgium,2015,Current health expenditure (% of GDP),10.2801
Belgium,2016,Current health expenditure (% of GDP),10.3045
Belgium,2017,Current health expenditure (% of GDP),10.3387
Belgium,2000,Domestic general government health expenditure (% of total government expenditure),12.0672
Belgium,2005,Domestic general government health expenditure (% of total government expenditure),13.3943
Belgium,2010,Domestic general government health expenditure (% of total government expenditure),14.5351
Belgium,2015,Domestic general government health expenditure (% of total government expenditure),14.8417
Belgium,2016,Domestic general government health expenditure (% of total government expenditure),14.9631
Belgium,2017,Domestic general government health expenditure (% of total government expenditure),15.3139
Belize,2000,Current health expenditure (% of GDP),4.1409
Belize,2005,Current health expenditure (% of GDP),4.6858
Belize,2010,Current health expenditure (% of GDP),5.7644
Belize,2015,Current health expenditure (% of GDP),5.9032
Belize,2016,Current health expenditure (% of GDP),6.097
Belize,2017,Current health expenditure (% of GDP),5.6428
Belize,2000,Domestic general government health expenditure (% of total government expenditure),6.5888
Belize,2005,Domestic general government health expenditure (% of total government expenditure),9.4935
Belize,2010,Domestic general government health expenditure (% of total government expenditure),13.1077
Belize,2015,Domestic general government health expenditure (% of total government expenditure),11.813
Belize,2016,Domestic general government health expenditure (% of total government expenditure),11.7977
Belize,2017,Domestic general government health expenditure (% of total government expenditure),10.991
Benin,2000,Current health expenditure (% of GDP),4.23
Benin,2005,Current health expenditure (% of GDP),4.0127
Benin,2010,Current health expenditure (% of GDP),4.0898
Benin,2015,Current health expenditure (% of GDP),3.9918
Benin,2016,Current health expenditure (% of GDP),3.8556
Benin,2017,Current health expenditure (% of GDP),3.7186
Benin,2000,Domestic general government health expenditure (% of total government expenditure),5.1598
Benin,2005,Domestic general government health expenditure (% of total government expenditure),4.8298
Benin,2010,Domestic general government health expenditure (% of total government expenditure),5.1466
Benin,2015,Domestic general government health expenditure (% of total government expenditure),3.2251
Benin,2016,Domestic general government health expenditure (% of total government expenditure),3.7248
Benin,2017,Domestic general government health expenditure (% of total government expenditure),4.5752
Bhutan,2000,Current health expenditure (% of GDP),4.3102
Bhutan,2005,Current health expenditure (% of GDP),4.0197
Bhutan,2010,Current health expenditure (% of GDP),3.4736
Bhutan,2015,Current health expenditure (% of GDP),3.6581
Bhutan,2016,Current health expenditure (% of GDP),3.4878
Bhutan,2017,Current health expenditure (% of GDP),3.187
Bhutan,2000,Domestic general government health expenditure (% of total government expenditure),7.5803
Bhutan,2005,Domestic general government health expenditure (% of total government expenditure),6.7703
Bhutan,2010,Domestic general government health expenditure (% of total government expenditure),5.5985
Bhutan,2015,Domestic general government health expenditure (% of total government expenditure),9.9531
Bhutan,2016,Domestic general government health expenditure (% of total government expenditure),8.3041
Bhutan,2017,Domestic general government health expenditure (% of total government expenditure),7.9006
Bolivia (Plurin. State of),2000,Current health expenditure (% of GDP),4.3955
Bolivia (Plurin. State of),2005,Current health expenditure (% of GDP),5.0741
Bolivia (Plurin. State of),2010,Current health expenditure (% of GDP),5.473
Bolivia (Plurin. State of),2015,Current health expenditure (% of GDP),6.617
Bolivia (Plurin. State of),2016,Current health expenditure (% of GDP),6.8528
Bolivia (Plurin. State of),2017,Current health expenditure (% of GDP),6.4432
Bolivia (Plurin. State of),2000,Domestic general government health expenditure (% of total government expenditure),8.296
Bolivia (Plurin. State of),2005,Domestic general government health expenditure (% of total government expenditure),8.2988
Bolivia (Plurin. State of),2010,Domestic general government health expenditure (% of total government expenditure),9.7059
Bolivia (Plurin. State of),2015,Domestic general government health expenditure (% of total government expenditure),9.6578
Bolivia (Plurin. State of),2016,Domestic general government health expenditure (% of total government expenditure),11.0933
Bolivia (Plurin. State of),2017,Domestic general government health expenditure (% of total government expenditure),11.523
Bosnia and Herzegovina,2000,Current health expenditure (% of GDP),7.6659
Bosnia and Herzegovina,2005,Current health expenditure (% of GDP),9.0522
Bosnia and Herzegovina,2010,Current health expenditure (% of GDP),9.0189
Bosnia and Herzegovina,2015,Current health expenditure (% of GDP),9.3395
Bosnia and Herzegovina,2016,Current health expenditure (% of GDP),9.2279
Bosnia and Herzegovina,2017,Current health expenditure (% of GDP),8.9317
Bosnia and Herzegovina,2000,Domestic general government health expenditure (% of total government expenditure),7.2586
Bosnia and Herzegovina,2005,Domestic general government health expenditure (% of total government expenditure),10.8087
Bosnia and Herzegovina,2010,Domestic general government health expenditure (% of total government expenditure),12.4011
Bosnia and Herzegovina,2015,Domestic general government health expenditure (% of total government expenditure),15.2359
Bosnia and Herzegovina,2016,Domestic general government health expenditure (% of total government expenditure),15.5346
Bosnia and Herzegovina,2017,Domestic general government health expenditure (% of total government expenditure),15.4748
Botswana,2000,Current health expenditure (% of GDP),5.8273
Botswana,2005,Current health expenditure (% of GDP),5.0253
Botswana,2010,Current health expenditure (% of GDP),6.194
Botswana,2015,Current health expenditure (% of GDP),5.7263
Botswana,2016,Current health expenditure (% of GDP),5.5605
Botswana,2017,Current health expenditure (% of GDP),6.1346
Botswana,2000,Domestic general government health expenditure (% of total government expenditure),8.1783
Botswana,2005,Domestic general government health expenditure (% of total government expenditure),8.1783
Botswana,2010,Domestic general government health expenditure (% of total government expenditure),8.0609
Botswana,2015,Domestic general government health expenditure (% of total government expenditure),10.4159
Botswana,2016,Domestic general government health expenditure (% of total government expenditure),11.2113
Botswana,2017,Domestic general government health expenditure (% of total government expenditure),14.3155
Brazil,2000,Current health expenditure (% of GDP),8.3348
Brazil,2005,Current health expenditure (% of GDP),8.0441
Brazil,2010,Current health expenditure (% of GDP),7.9491
Brazil,2015,Current health expenditure (% of GDP),8.8702
Brazil,2016,Current health expenditure (% of GDP),9.2062
Brazil,2017,Current health expenditure (% of GDP),9.4675
Brazil,2000,Domestic general government health expenditure (% of total government expenditure),10.0637
Brazil,2005,Domestic general government health expenditure (% of total government expenditure),8.4077
Brazil,2010,Domestic general government health expenditure (% of total government expenditure),9.2201
Brazil,2015,Domestic general government health expenditure (% of total government expenditure),9.8492
Brazil,2016,Domestic general government health expenditure (% of total government expenditure),9.9241
Brazil,2017,Domestic general government health expenditure (% of total government expenditure),10.2553
Brunei Darussalam,2000,Current health expenditure (% of GDP),2.5432
Brunei Darussalam,2005,Current health expenditure (% of GDP),2.2297
Brunei Darussalam,2010,Current health expenditure (% of GDP),2.2783
Brunei Darussalam,2015,Current health expenditure (% of GDP),2.3871
Brunei Darussalam,2016,Current health expenditure (% of GDP),2.5483
Brunei Darussalam,2017,Current health expenditure (% of GDP),2.3732
Brunei Darussalam,2000,Domestic general government health expenditure (% of total government expenditure),5.7201
Brunei Darussalam,2005,Domestic general government health expenditure (% of total government expenditure),6.4329
Brunei Darussalam,2010,Domestic general government health expenditure (% of total government expenditure),5.7768
Brunei Darussalam,2015,Domestic general government health expenditure (% of total government expenditure),5.8649
Brunei Darussalam,2016,Domestic general government health expenditure (% of total government expenditure),6.1533
Brunei Darussalam,2017,Domestic general government health expenditure (% of total government expenditure),6.1533
Bulgaria,2000,Current health expenditure (% of GDP),5.8709
Bulgaria,2005,Current health expenditure (% of GDP),6.9442
Bulgaria,2010,Current health expenditure (% of GDP),7.1058
Bulgaria,2015,Current health expenditure (% of GDP),8.2027
Bulgaria,2016,Current health expenditure (% of GDP),8.2301
Bulgaria,2017,Current health expenditure (% of GDP),8.0956
Bulgaria,2000,Domestic general government health expenditure (% of total government expenditure),8.5112
Bulgaria,2005,Domestic general government health expenditure (% of total government expenditure),11.1699
Bulgaria,2010,Domestic general government health expenditure (% of total government expenditure),10.852
Bulgaria,2015,Domestic general government health expenditure (% of total government expenditure),10.3047
Bulgaria,2016,Domestic general government health expenditure (% of total government expenditure),11.8575
Bulgaria,2017,Domestic general government health expenditure (% of total government expenditure),11.986
Burkina Faso,2000,Current health expenditure (% of GDP),3.3175
Burkina Faso,2005,Current health expenditure (% of GDP),4.4426
Burkina Faso,2010,Current health expenditure (% of GDP),5.893
Burkina Faso,2015,Current health expenditure (% of GDP),5.8253
Burkina Faso,2016,Current health expenditure (% of GDP),7.0131
Burkina Faso,2017,Current health expenditure (% of GDP),6.9151
Burkina Faso,2000,Domestic general government health expenditure (% of total government expenditure),4.8484
Burkina Faso,2005,Domestic general government health expenditure (% of total government expenditure),6.0486
Burkina Faso,2010,Domestic general government health expenditure (% of total government expenditure),6.0323
Burkina Faso,2015,Domestic general government health expenditure (% of total government expenditure),7.1526
Burkina Faso,2016,Domestic general government health expenditure (% of total government expenditure),11.034
Burkina Faso,2017,Domestic general government health expenditure (% of total government expenditure),9.9915
Burundi,2000,Current health expenditure (% of GDP),6.177
Burundi,2005,Current health expenditure (% of GDP),8.4237
Burundi,2010,Current health expenditure (% of GDP),11.2764
Burundi,2015,Current health expenditure (% of GDP),6.5786
Burundi,2016,Current health expenditure (% of GDP),7.4922
Burundi,2017,Current health expenditure (% of GDP),7.5176
Burundi,2000,Domestic general government health expenditure (% of total government expenditure),5.9445
Burundi,2005,Domestic general government health expenditure (% of total government expenditure),6.2233
Burundi,2010,Domestic general government health expenditure (% of total government expenditure),4.8607
Burundi,2015,Domestic general government health expenditure (% of total government expenditure),9.1975
Burundi,2016,Domestic general government health expenditure (% of total government expenditure),8.5214
Burundi,2017,Domestic general government health expenditure (% of total government expenditure),8.5214
Cabo Verde,2000,Current health expenditure (% of GDP),4.434
Cabo Verde,2005,Current health expenditure (% of GDP),4.2736
Cabo Verde,2010,Current health expenditure (% of GDP),4.4756
Cabo Verde,2015,Current health expenditure (% of GDP),4.8186
Cabo Verde,2016,Current health expenditure (% of GDP),4.8433
Cabo Verde,2017,Current health expenditure (% of GDP),5.1655
Cabo Verde,2000,Domestic general government health expenditure (% of total government expenditure),7.5016
Cabo Verde,2005,Domestic general government health expenditure (% of total government expenditure),8.8029
Cabo Verde,2010,Domestic general government health expenditure (% of total government expenditure),7.2294
Cabo Verde,2015,Domestic general government health expenditure (% of total government expenditure),10.0914
Cabo Verde,2016,Domestic general government health expenditure (% of total government expenditure),10.3892
Cabo Verde,2017,Domestic general government health expenditure (% of total government expenditure),9.8551
Cambodia,2000,Current health expenditure (% of GDP),6.541
Cambodia,2005,Current health expenditure (% of GDP),6.8528
Cambodia,2010,Current health expenditure (% of GDP),6.9117
Cambodia,2015,Current health expenditure (% of GDP),6.1943
Cambodia,2016,Current health expenditure (% of GDP),6.1165
Cambodia,2017,Current health expenditure (% of GDP),5.9188
Cambodia,2000,Domestic general government health expenditure (% of total government expenditure),8.5917
Cambodia,2005,Domestic general government health expenditure (% of total government expenditure),9.8988
Cambodia,2010,Domestic general government health expenditure (% of total government expenditure),6.5196
Cambodia,2015,Domestic general government health expenditure (% of total government expenditure),6.4211
Cambodia,2016,Domestic general government health expenditure (% of total government expenditure),6.0031
Cambodia,2017,Domestic general government health expenditure (% of total government expenditure),6.0787
Cameroon,2000,Current health expenditure (% of GDP),3.9823
Cameroon,2005,Current health expenditure (% of GDP),4.1421
Cameroon,2010,Current health expenditure (% of GDP),4.5039
Cameroon,2015,Current health expenditure (% of GDP),4.6995
Cameroon,2016,Current health expenditure (% of GDP),4.6791
Cameroon,2017,Current health expenditure (% of GDP),4.6707
Cameroon,2000,Domestic general government health expenditure (% of total government expenditure),4.4263
Cameroon,2005,Domestic general government health expenditure (% of total government expenditure),5.2475
Cameroon,2010,Domestic general government health expenditure (% of total government expenditure),5.0882
Cameroon,2015,Domestic general government health expenditure (% of total government expenditure),3.2514
Cameroon,2016,Domestic general government health expenditure (% of total government expenditure),2.9547
Cameroon,2017,Domestic general government health expenditure (% of total government expenditure),3.1372
Canada,2000,Current health expenditure (% of GDP),8.2757
Canada,2005,Current health expenditure (% of GDP),9.0644
Canada,2010,Current health expenditure (% of GDP),10.6821
Canada,2015,Current health expenditure (% of GDP),10.5107
Canada,2016,Current health expenditure (% of GDP),10.7379
Canada,2017,Current health expenditure (% of GDP),10.5728
Canada,2000,Domestic general government health expenditure (% of total government expenditure),14.8156
Canada,2005,Domestic general government health expenditure (% of total government expenditure),17.131
Canada,2010,Domestic general government health expenditure (% of total government expenditure),18.2593
Canada,2015,Domestic general government health expenditure (% of total government expenditure),19.55
Canada,2016,Domestic general government health expenditure (% of total government expenditure),19.5259
Canada,2017,Domestic general government health expenditure (% of total government expenditure),19.3279
Central African Republic,2000,Current health expenditure (% of GDP),4.4335
Central African Republic,2005,Current health expenditure (% of GDP),4.7629
Central African Republic,2010,Current health expenditure (% of GDP),3.742
Central African Republic,2015,Current health expenditure (% of GDP),6.309
Central African Republic,2016,Current health expenditure (% of GDP),4.2815
Central African Republic,2017,Current health expenditure (% of GDP),5.8218
Central African Republic,2000,Domestic general government health expenditure (% of total government expenditure),10.9348
Central African Republic,2005,Domestic general government health expenditure (% of total government expenditure),9.7881
Central African Republic,2010,Domestic general government health expenditure (% of total government expenditure),5.7239
Central African Republic,2015,Domestic general government health expenditure (% of total government expenditure),3.4905
Central African Republic,2016,Domestic general government health expenditure (% of total government expenditure),5.0091
Central African Republic,2017,Domestic general government health expenditure (% of total government expenditure),5.0349
Chad,2000,Current health expenditure (% of GDP),5.4575
Chad,2005,Current health expenditure (% of GDP),4.8411
Chad,2010,Current health expenditure (% of GDP),4.0602
Chad,2015,Current health expenditure (% of GDP),4.524
Chad,2016,Current health expenditure (% of GDP),4.9571
Chad,2017,Current health expenditure (% of GDP),4.4873
Chad,2000,Domestic general government health expenditure (% of total government expenditure),11.4038
Chad,2005,Domestic general government health expenditure (% of total government expenditure),12.4232
Chad,2010,Domestic general government health expenditure (% of total government expenditure),3.4975
Chad,2015,Domestic general government health expenditure (% of total government expenditure),5.2452
Chad,2016,Domestic general government health expenditure (% of total government expenditure),5.725
Chad,2017,Domestic general government health expenditure (% of total government expenditure),4.6784
Chile,2000,Current health expenditure (% of GDP),7.0352
Chile,2005,Current health expenditure (% of GDP),6.5887
Chile,2010,Current health expenditure (% of GDP),6.7749
Chile,2015,Current health expenditure (% of GDP),8.3027
Chile,2016,Current health expenditure (% of GDP),8.5174
Chile,2017,Current health expenditure (% of GDP),8.9835
Chile,2000,Domestic general government health expenditure (% of total government expenditure),10.9563
Chile,2005,Domestic general government health expenditure (% of total government expenditure),12.8694
Chile,2010,Domestic general government health expenditure (% of total government expenditure),13.6815
Chile,2015,Domestic general government health expenditure (% of total government expenditure),16.0226
Chile,2016,Domestic general government health expenditure (% of total government expenditure),16.7322
Chile,2017,Domestic general government health expenditure (% of total government expenditure),17.7318
China,2000,Current health expenditure (% of GDP),4.4734
China,2005,Current health expenditure (% of GDP),4.1422
China,2010,Current health expenditure (% of GDP),4.208
China,2015,Current health expenditure (% of GDP),4.8887
China,2016,Current health expenditure (% of GDP),4.9819
China,2017,Current health expenditure (% of GDP),5.1512
China,2000,Domestic general government health expenditure (% of total government expenditure),6.0898
China,2005,Domestic general government health expenditure (% of total government expenditure),7.4888
China,2010,Domestic general government health expenditure (% of total government expenditure),8.7509
China,2015,Domestic general government health expenditure (% of total government expenditure),9.3933
China,2016,Domestic general government health expenditure (% of total government expenditure),9.0647
China,2017,Domestic general government health expenditure (% of total government expenditure),9.0721
Colombia,2000,Current health expenditure (% of GDP),5.6523
Colombia,2005,Current health expenditure (% of GDP),6.0854
Colombia,2010,Current health expenditure (% of GDP),7.0827
Colombia,2015,Current health expenditure (% of GDP),7.2974
Colombia,2016,Current health expenditure (% of GDP),7.2137
Colombia,2017,Current health expenditure (% of GDP),7.2263
Colombia,2000,Domestic general government health expenditure (% of total government expenditure),14.8709
Colombia,2005,Domestic general government health expenditure (% of total government expenditure),16.8354
Colombia,2010,Domestic general government health expenditure (% of total government expenditure),17.3473
Colombia,2015,Domestic general government health expenditure (% of total government expenditure),17.1922
Colombia,2016,Domestic general government health expenditure (% of total government expenditure),17.9515
Colombia,2017,Domestic general government health expenditure (% of total government expenditure),17.4857
Comoros,2000,Current health expenditure (% of GDP),12.2403
Comoros,2005,Current health expenditure (% of GDP),9.8587
Comoros,2010,Current health expenditure (% of GDP),8.515
Comoros,2015,Current health expenditure (% of GDP),7.7752
Comoros,2016,Current health expenditure (% of GDP),7.4866
Comoros,2017,Current health expenditure (% of GDP),7.3844
Comoros,2000,Domestic general government health expenditure (% of total government expenditure),9.7344
Comoros,2005,Domestic general government health expenditure (% of total government expenditure),6.6831
